fold,accuracy,auroc,balanced_accuracy,sensitivity,specificity,precision,f1_score,threshold
1,0.7732,0.7947,0.7481,0.6767,0.8195,0.625,0.6498,0.508
2,0.7829,0.8346,0.7447,0.6343,0.8551,0.68,0.6564,0.54
3,0.778,0.8607,0.7795,0.7836,0.7754,0.6364,0.7023,0.429
4,0.739,0.77,0.7217,0.6716,0.7717,0.5806,0.6228,0.441
5,0.7628,0.8066,0.7503,0.7143,0.7862,0.6115,0.6589,0.462
6,0.6822,0.7756,0.7061,0.7744,0.6377,0.5074,0.6131,0.453
7,0.7115,0.7331,0.6947,0.6466,0.7428,0.5342,0.585,0.486
8,0.7408,0.7435,0.6931,0.5564,0.8297,0.6116,0.5827,0.549
9,0.7359,0.7776,0.7186,0.6692,0.7681,0.5705,0.6159,0.492
10,0.6846,0.7365,0.6767,0.6541,0.6993,0.5,0.5668,0.438
