fold,accuracy,auroc,balanced_accuracy,sensitivity,specificity,precision,f1_score,threshold
1,0.6927,0.7388,0.6748,0.6241,0.7256,0.5188,0.5665,0.481
2,0.6878,0.8328,0.7297,0.8507,0.6087,0.5,0.63,0.303
3,0.6878,0.7945,0.7067,0.7612,0.6522,0.5178,0.6163,0.458
4,0.7268,0.7577,0.703,0.6343,0.7717,0.5743,0.6028,0.5
5,0.6773,0.7631,0.6752,0.6692,0.6812,0.4944,0.5687,0.477
6,0.7506,0.7923,0.6925,0.5263,0.8587,0.6364,0.5761,0.504
7,0.6822,0.7038,0.6476,0.5489,0.7464,0.5105,0.529,0.499
8,0.7115,0.7371,0.6752,0.5714,0.779,0.5507,0.5609,0.5
9,0.7506,0.8192,0.7354,0.6917,0.779,0.6013,0.6434,0.43
10,0.7017,0.7389,0.6758,0.6015,0.75,0.5333,0.5654,0.49
