feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank,fold,feature_strategy,selected_feature_k,selected
strong__event_start_sec,1.0,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,1,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_64_iqr,0.5538982467868325,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,2,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_01_std,0.4442342246299325,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,3,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_07_q75,0.38701649975348607,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,4,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_01_max,0.34185841324130933,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,5,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_64_mean,0.33198048836253724,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,6,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_08_q75,0.31620256220497356,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,7,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_4_percentile99_0,0.2886145876161839,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,8,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_shimmerLocal_sma_quartile1,0.23683976750126584,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,9,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_shimmerLocal_sma_percentile1_0,0.21759568292583029,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,10,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_07_max,0.2127048667532399,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,11,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_02_max,0.20680235561330348,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,12,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_voicingFinalUnclipped_sma_de_skewness,0.1598957382413645,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,13,1,compare_is10_top800_lightgbm,800.0,True
compare2016__event_start_sec,0.15071125104014885,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,14,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_17_max,0.14945256876041244,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,15,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_shimmerLocal_sma_quartile1,0.14904094655532937,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,16,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_6_percentile99_0,0.14735781738970802,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,17,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_6_meanRisingSlope,0.1435011473792026,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,18,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_2_meanPeakDist,0.14086155961058577,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,19,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_4_quartile3,0.135828246884089,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,20,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_61_skew,0.13355566113114362,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,21,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_F0final_sma_ff0_segLenStddev,0.13240336073494743,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,22,1,compare_is10_top800_lightgbm,800.0,True
strong__delta_mfcc_03_std,0.1313539242613645,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,23,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_lspFreq_sma_0_percentile1_0,0.13016413825828327,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,24,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_11_lpc1,0.1281328287542957,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,25,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_voicingFinalUnclipped_sma_de_percentile1_0,0.12136165162541658,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,26,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_26_min,0.11378337073107259,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,27,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_de_5_skewness,0.11299159867952055,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,28,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_22_min,0.1116096868630924,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,29,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_20_min,0.11150241101921413,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,30,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_5_percentile1_0,0.10840187727028487,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,31,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_spectralFlux_sma_de_skewness,0.10557268759536712,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,32,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_2_range,0.10469048214950612,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,33,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_F0final_sma_de_percentile99_0,0.10468907069668962,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,34,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_01_skew,0.10450416306254844,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,35,1,compare_is10_top800_lightgbm,800.0,True
strong__event_end_sec,0.10435845880187655,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,36,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_17_min,0.10378839487188214,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,37,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_3_peakDistStddev,0.10261015137563811,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,38,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_lspFreq_sma_0_quartile1,0.10154064657088979,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,39,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_01_kurtosis,0.10019669882695871,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,40,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_2_stddevFallingSlope,0.09398320649457066,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,41,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_17_mean,0.09157133315767281,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,42,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audspec_lengthL1norm_sma_stddev,0.09019074444628522,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,43,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_2_stddevFallingSlope,0.08643650355762289,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,44,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_01_q75,0.08605343042917457,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,45,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_3_range,0.08427963210549307,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,46,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_7_meanPeakDist,0.08338147628504493,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,47,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_04_max,0.0819058601892672,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,48,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_62_mean,0.07910548146691415,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,49,1,compare_is10_top800_lightgbm,800.0,True
strong__event_duration_sec,0.07844111795645507,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,50,1,compare_is10_top800_lightgbm,800.0,True
strong__delta_mfcc_01_kurtosis,0.07716359516470832,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,51,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_4_meanPeakDist,0.07613580174692533,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,52,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_21_std,0.07489275547753875,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,53,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_07_max,0.07418214652549619,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,54,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_15_risetime,0.0735602529560821,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,55,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_5_skewness,0.07187012105086998,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,56,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_02_min,0.07032120373298872,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,57,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_3_meanPeakDist,0.06800800541618457,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,58,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_2_stddevRisingSlope,0.06609278151499709,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,59,1,compare_is10_top800_lightgbm,800.0,True
strong__delta_mfcc_04_max,0.06513071013217044,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,60,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_4_linregc2,0.06510994550137615,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,61,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_05_max,0.06491676292721206,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,62,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_32_max,0.06377666033099187,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,63,1,compare_is10_top800_lightgbm,800.0,True
